filename,error
000000000.png,0
000000006.png,0
000000012.png,0
000000018.png,0
000000024.png,0
000000030.png,0
000000036.png,0
000000042.png,0
000000048.png,0
000000054.png,0
000000060.png,0
000000066.png,0
000000072.png,0
000000078.png,0
000000084.png,0
000000090.png,0
000000096.png,0
000000102.png,0
000000108.png,0
000000114.png,0
000000120.png,0
000000126.png,0
000000132.png,0
000000138.png,0
000000144.png,0
000000150.png,0
000000156.png,0
000000162.png,0
000000168.png,0
000000174.png,0
000000180.png,0
000000186.png,0
000000192.png,0
000000198.png,0
000000204.png,0
000000210.png,0
000000216.png,0
000000222.png,0
000000228.png,0
000000234.png,0
000000240.png,0
000000246.png,0
000000252.png,0
000000258.png,0
000000264.png,0
000000270.png,0
000000276.png,0
000000282.png,0
000000288.png,0
000000294.png,0
000000300.png,0
000000306.png,0
000000312.png,0
000000318.png,0
000000324.png,0
000000330.png,0
000000336.png,0
000000342.png,0
000000348.png,0
000000354.png,0
000000360.png,0
000000366.png,0
000000372.png,0
000000378.png,0
000000384.png,0
000000390.png,0
000000396.png,0
000000402.png,0
000000408.png,0
000000414.png,0
000000420.png,0
000000426.png,0
000000432.png,0
000000438.png,0
000000444.png,0
000000450.png,0
000000456.png,0
000000462.png,0
000000468.png,0
000000474.png,0
000000480.png,0
000000486.png,0
000000492.png,0
000000498.png,0
000000504.png,0
000000510.png,0
000000516.png,0
000000522.png,0
000000528.png,0
000000534.png,0
000000540.png,0
000000546.png,0
000000552.png,0
000000558.png,0
000000564.png,0
000000570.png,0
000000576.png,0
000000582.png,0
000000588.png,0
000000594.png,0
000000600.png,3
000000606.png,3
000000612.png,0
000000618.png,0
000000624.png,0
000000630.png,0
000000636.png,0
000000642.png,0
000000648.png,0
000000654.png,0
000000660.png,0
000000666.png,0
000000672.png,0
000000678.png,0
000000684.png,0
000000690.png,0
000000696.png,0
000000702.png,0
000000708.png,0
000000714.png,0
000000720.png,0
000000726.png,0
000000732.png,0
000000738.png,0
000000744.png,0
000000750.png,0
000000756.png,0
000000762.png,0
000000768.png,0
000000774.png,0
000000780.png,0
000000786.png,0
000000792.png,0
000000798.png,0
000000804.png,0
000000810.png,0
000000816.png,0
000000822.png,0
000000828.png,0
000000834.png,0
000000840.png,0
000000846.png,0
000000852.png,0
000000858.png,0
000000864.png,0
000000870.png,0
000000876.png,0
000000882.png,0
000000888.png,0
000000894.png,0
000000900.png,0
000000906.png,0
000000912.png,0
000000918.png,0
000000924.png,0
000000930.png,0
000000936.png,0
000000942.png,0
000000948.png,0
000000954.png,0
000000960.png,0
000000966.png,0
000000972.png,0
000000978.png,0
000000984.png,0
000000990.png,0
000000996.png,0
000001002.png,0
000001008.png,0
000001014.png,0
000001020.png,0
000001026.png,0
000001032.png,0
000001038.png,0
000001044.png,0
000001050.png,0
000001056.png,0
000001062.png,0
000001068.png,0
000001074.png,0
000001080.png,0
000001086.png,0
000001092.png,0
000001098.png,0
000001104.png,0
000001110.png,0
000001116.png,0
000001122.png,0
000001128.png,0
000001134.png,0
000001140.png,6
000001146.png,6
000001152.png,6
000001158.png,6
000001164.png,6
000001170.png,6
000001176.png,0
000001182.png,0
000001188.png,0
000001194.png,0
000001200.png,0
000001206.png,0
000001212.png,0
000001218.png,0
000001224.png,0
000001230.png,0
000001236.png,0
000001242.png,0
000001248.png,0
000001254.png,0
000001260.png,0
000001266.png,0
000001272.png,1
000001278.png,1
000001284.png,1
000001290.png,1
000001296.png,1
000001302.png,1
000001308.png,1
000001314.png,1
000001320.png,1
000001326.png,1
000001332.png,1
000001338.png,1
000001344.png,0
000001350.png,0
000001356.png,0
000001362.png,0
000001368.png,0
000001374.png,0
000001380.png,0
000001386.png,2
000001392.png,2
000001398.png,2
000001404.png,2
000001410.png,2
000001416.png,2
000001422.png,2
000001428.png,2
000001434.png,2
000001440.png,2
000001446.png,2
000001452.png,2
000001458.png,2
000001464.png,2
000001470.png,2
000001476.png,2
000001482.png,2
000001488.png,2
000001494.png,2
000001500.png,2
000001506.png,2
000001512.png,2
000001518.png,2
000001524.png,2
000001530.png,2
000001536.png,2
000001542.png,2
000001548.png,2
000001554.png,2
000001560.png,2
000001566.png,2
000001572.png,2
000001578.png,2
000001584.png,2
000001590.png,0
000001596.png,0
000001602.png,0
000001608.png,0
000001614.png,0
000001620.png,0
000001626.png,0
000001632.png,0
000001638.png,2
000001644.png,2
000001650.png,2
000001656.png,2
000001662.png,2
000001668.png,2
000001674.png,2
000001680.png,2
000001686.png,0
000001692.png,0
000001698.png,0
000001704.png,0
000001710.png,0
000001716.png,0
000001722.png,0
000001728.png,0
000001734.png,0
000001740.png,0
000001746.png,0
000001752.png,0
000001758.png,0
000001764.png,0
000001770.png,0
000001776.png,0
000001782.png,1
000001788.png,1
000001794.png,1
000001800.png,1
000001806.png,1
000001812.png,1
000001818.png,1
000001824.png,1
000001830.png,1
000001836.png,1
000001842.png,1
000001848.png,1
000001854.png,1
000001860.png,0
000001866.png,0
000001872.png,0
000001878.png,0
000001884.png,0
000001890.png,0
000001896.png,0
000001902.png,0
000001908.png,0
000001914.png,0
000001920.png,0
000001926.png,0
000001932.png,0
000001938.png,0
000001944.png,0
000001950.png,0
000001956.png,0
000001962.png,0
000001968.png,0
000001974.png,0
000001980.png,0
000001986.png,0
000001992.png,0
000001998.png,0
000002004.png,0
000002010.png,0
000002016.png,0
000002022.png,0
000002028.png,0
000002034.png,0
000002040.png,0
000002046.png,0
000002052.png,0
000002058.png,0
000002064.png,0
000002070.png,0
000002076.png,0
000002082.png,0
000002088.png,0
000002094.png,0
000002100.png,0
000002106.png,0
000002112.png,0
000002118.png,0
000002124.png,0
000002130.png,0
000002136.png,0
000002142.png,0
000002148.png,0
000002154.png,0
000002160.png,0
000002166.png,0
000002172.png,0
000002178.png,0
000002184.png,0
000002190.png,0
000002196.png,0
000002202.png,0
000002208.png,0
000002214.png,0
000002220.png,0
000002226.png,0
000002232.png,0
000002238.png,0
000002244.png,0
000002250.png,0
000002256.png,0
000002262.png,0
000002268.png,0
000002274.png,0
000002280.png,0
000002286.png,0
000002292.png,0
000002298.png,0
000002304.png,0
000002310.png,0
000002316.png,0
000002322.png,0
000002328.png,0
000002334.png,0
000002340.png,0
000002346.png,3
000002352.png,0
000002358.png,0
000002364.png,0
000002370.png,0
000002376.png,0
000002382.png,0
000002388.png,0
000002394.png,0
000002400.png,0
000002406.png,0
000002412.png,0
000002418.png,0
000002424.png,0
000002430.png,0
000002436.png,0
000002442.png,0
000002448.png,0
000002454.png,0
000002460.png,0
000002466.png,0
000002472.png,0
000002478.png,0
000002484.png,0
000002490.png,0
000002496.png,0
000002502.png,0
000002508.png,0
000002514.png,0
000002520.png,5
000002526.png,5
000002532.png,5
000002538.png,5
000002544.png,5
000002550.png,5
000002556.png,5
000002562.png,5
000002568.png,5
000002574.png,0
000002580.png,6
000002586.png,6
000002592.png,6
000002598.png,"1, 6"
000002604.png,"1, 6"
000002610.png,"1, 6"
000002616.png,"1, 6"
000002622.png,"1, 6"
000002628.png,"1, 6"
000002634.png,"1, 6"
000002640.png,"1, 6"
000002646.png,"1, 6"
000002652.png,"1, 6"
000002658.png,"1, 6"
000002664.png,"1, 6"
000002670.png,"1, 6"
000002676.png,"1, 6"
000002682.png,"1, 6"
000002688.png,"1, 6"
000002694.png,"1, 6"
000002700.png,"1, 6"
000002706.png,"1, 6"
000002712.png,"1, 6"
000002718.png,"1, 6"
000002724.png,"1, 6"
000002730.png,"1, 6"
000002736.png,"1, 6"
000002742.png,6
000002748.png,6
000002754.png,6
000002760.png,6
000002766.png,0
000002772.png,0
000002778.png,0
000002784.png,0
000002790.png,0
000002796.png,0
000002802.png,0
000002808.png,0
000002814.png,0
000002820.png,0
000002826.png,0
000002832.png,0
000002838.png,0
000002844.png,0
000002850.png,0
000002856.png,0
000002862.png,0
000002868.png,0
000002874.png,0
000002880.png,0
000002886.png,0
000002892.png,0
000002898.png,0
000002904.png,0
000002910.png,0
000002916.png,0
000002922.png,0
000002928.png,0
000002934.png,0
000002940.png,0
000002946.png,0
000002952.png,0
000002958.png,0
000002964.png,0
000002970.png,0
000002976.png,0
000002982.png,0
000002988.png,0
000002994.png,0
000003000.png,0
000003006.png,0
000003012.png,0
000003018.png,0
000003024.png,0
000003030.png,0
000003036.png,0
000003042.png,0
000003048.png,0
000003054.png,5
000003060.png,5
000003066.png,5
000003072.png,5
000003078.png,5
000003084.png,5
000003090.png,5
000003096.png,5
000003102.png,5
000003108.png,5
000003114.png,5
000003120.png,5
000003126.png,5
000003132.png,5
000003138.png,5
000003144.png,5
000003150.png,5
000003156.png,5
000003162.png,5
000003168.png,5
000003174.png,5
000003180.png,5
000003186.png,0
000003192.png,0
000003198.png,0
000003204.png,0
000003210.png,0
000003216.png,0
000003222.png,0
000003228.png,0
000003234.png,0
000003240.png,0
000003246.png,0
000003252.png,0
000003258.png,0
000003264.png,0
000003270.png,0
000003276.png,0
000003282.png,0
000003288.png,0
000003294.png,0
000003300.png,0
000003306.png,0
000003312.png,0
000003318.png,0
000003324.png,0
000003330.png,0
000003336.png,0
000003342.png,0
000003348.png,0
000003354.png,0
000003360.png,0
000003366.png,0
000003372.png,0
000003378.png,2
000003384.png,2
000003390.png,2
000003396.png,2
000003402.png,2
000003408.png,2
000003414.png,2
000003420.png,2
000003426.png,2
000003432.png,0
000003438.png,0
000003444.png,0
000003450.png,0
000003456.png,0
000003462.png,0
000003468.png,0
000003474.png,0
000003480.png,0
000003486.png,0
000003492.png,0
000003498.png,0
000003504.png,0
000003510.png,0
000003516.png,0
000003522.png,0
000003528.png,2
000003534.png,"1, 2"
000003540.png,"1, 2"
000003546.png,"1, 2"
000003552.png,"1, 2"
000003558.png,"1, 2"
000003564.png,"1, 2"
000003570.png,"1, 2"
000003576.png,"1, 2"
000003582.png,"1, 2"
000003588.png,"1, 2"
000003594.png,"1, 2"
000003600.png,"1, 2"
000003606.png,"1, 2"
000003612.png,"1, 2"
000003618.png,2
000003624.png,2
000003630.png,2
000003636.png,2
000003642.png,2
000003648.png,2
000003654.png,2
000003660.png,2
000003666.png,2
000003672.png,2
000003678.png,2
000003684.png,2
000003690.png,2
000003696.png,2
000003702.png,2
000003708.png,2
000003714.png,0
000003720.png,0
000003726.png,0
000003732.png,0
000003738.png,0
000003744.png,0
000003750.png,0
000003756.png,0
000003762.png,0
000003768.png,0
000003774.png,0
000003780.png,0
000003786.png,0
000003792.png,0
000003798.png,0
000003804.png,0
000003810.png,6
000003816.png,6
000003822.png,6
000003828.png,0
000003834.png,0
000003840.png,0
000003846.png,0
000003852.png,0
000003858.png,0
000003864.png,0
000003870.png,0
000003876.png,0
000003882.png,0
000003888.png,0
000003894.png,0
000003900.png,0
000003906.png,0
000003912.png,0
000003918.png,0
000003924.png,0
000003930.png,0
000003936.png,0
000003942.png,0
000003948.png,0
000003954.png,0
000003960.png,0
000003966.png,0
000003972.png,0
000003978.png,0
000003984.png,0
000003990.png,0
000003996.png,0
000004002.png,0
000004008.png,0
000004014.png,0
000004020.png,0
000004026.png,0
000004032.png,0
000004038.png,0
000004044.png,0
000004050.png,0
000004056.png,0
000004062.png,0
000004068.png,0
000004074.png,0
000004080.png,0
000004086.png,0
000004092.png,0
000004098.png,0
000004104.png,0
000004110.png,0
000004116.png,0
000004122.png,0
000004128.png,0
000004134.png,0
000004140.png,0
000004146.png,0
000004152.png,0
000004158.png,0
000004164.png,0
000004170.png,0
000004176.png,0
000004182.png,0
000004188.png,0
000004194.png,0
000004200.png,0
000004206.png,0
000004212.png,0
000004218.png,0
000004224.png,0
000004230.png,0
000004236.png,0
000004242.png,0
000004248.png,0
000004254.png,0
000004260.png,0
000004266.png,0
000004272.png,0
000004278.png,0
000004284.png,0
000004290.png,0
000004296.png,0
000004302.png,0
000004308.png,0
000004314.png,0
000004320.png,0
000004326.png,0
000004332.png,0
000004338.png,0
000004344.png,0
000004350.png,0
000004356.png,0
000004362.png,0
000004368.png,0
000004374.png,0
000004380.png,0
000004386.png,0
000004392.png,0
000004398.png,0
000004404.png,0
000004410.png,0
000004416.png,0
000004422.png,0
000004428.png,0
000004434.png,0
000004440.png,0
000004446.png,0
000004452.png,0
000004458.png,0
000004464.png,0
000004470.png,0
000004476.png,0
000004482.png,0
000004488.png,0
000004494.png,0
000004500.png,0
000004506.png,0
000004512.png,0
000004518.png,2
000004524.png,2
000004530.png,2
000004536.png,2
000004542.png,2
000004548.png,2
000004554.png,2
000004560.png,2
000004566.png,2
000004572.png,2
000004578.png,2
000004584.png,2
000004590.png,2
000004596.png,2
000004602.png,2
000004608.png,2
000004614.png,2
000004620.png,2
000004626.png,2
000004632.png,0
000004638.png,0
000004644.png,0
000004650.png,0
000004656.png,0
000004662.png,0
000004668.png,0
000004674.png,0
000004680.png,0
000004686.png,0
000004692.png,0
000004698.png,0
000004704.png,0
000004710.png,0
000004716.png,0
000004722.png,0
000004728.png,0
000004734.png,0
000004740.png,0
000004746.png,0
000004752.png,0
000004758.png,0
000004764.png,0
000004770.png,0
000004776.png,0
000004782.png,0
000004788.png,0
000004794.png,0
000004800.png,0
000004806.png,0
000004812.png,0
000004818.png,0
000004824.png,0
000004830.png,0
000004836.png,0
000004842.png,0
000004848.png,0
000004854.png,0
000004860.png,0
000004866.png,0
000004872.png,0
000004878.png,0
000004884.png,0
000004890.png,0
000004896.png,0
000004902.png,0
000004908.png,0
000004914.png,1
000004920.png,1
000004926.png,1
000004932.png,1
000004938.png,1
000004944.png,1
000004950.png,1
000004956.png,1
000004962.png,1
000004968.png,1
000004974.png,1
000004980.png,1
000004986.png,1
000004992.png,1
000004998.png,1
000005004.png,1
000005010.png,1
000005016.png,1
000005022.png,1
000005028.png,1
000005034.png,1
000005040.png,1
000005046.png,1
000005052.png,1
000005058.png,1
000005064.png,1
000005070.png,1
000005076.png,1
000005082.png,1
000005088.png,1
000005094.png,1
000005100.png,1
000005106.png,1
000005112.png,1
000005118.png,1
000005124.png,1
000005130.png,1
000005136.png,1
000005142.png,"1, 3"
000005148.png,"1, 3"
000005154.png,"1, 3"
000005160.png,"1, 3"
000005166.png,"1, 3"
000005172.png,"1, 3"
000005178.png,"1, 3"
000005184.png,"1, 3"
000005190.png,"1, 3"
000005196.png,"1, 3"
000005202.png,"1, 3"
000005208.png,"1, 3"
000005214.png,"1, 3"
000005220.png,"1, 3"
000005226.png,"1, 3"
000005232.png,"1, 3"
000005238.png,1
000005244.png,1
000005250.png,1
000005256.png,1
000005262.png,1
000005268.png,1
000005274.png,1
000005280.png,1
000005286.png,1
000005292.png,1
000005298.png,1
000005304.png,1
000005310.png,1
000005316.png,1
000005322.png,1
000005328.png,1
000005334.png,1
000005340.png,1
000005346.png,1
000005352.png,1
000005358.png,1
000005364.png,1
000005370.png,1
000005376.png,1
000005382.png,1
000005388.png,1
000005394.png,1
000005400.png,0
000005406.png,0
000005412.png,0
000005418.png,0
000005424.png,0
000005430.png,0
000005436.png,0
000005442.png,0
000005448.png,0
000005454.png,0
000005460.png,0
000005466.png,0
000005472.png,0
000005478.png,0
000005484.png,0
000005490.png,0
000005496.png,0
000005502.png,0
000005508.png,0
000005514.png,0
000005520.png,0
000005526.png,0
000005532.png,0
000005538.png,0
000005544.png,0
000005550.png,0
000005556.png,0
000005562.png,0
000005568.png,0
000005574.png,0
000005580.png,2
000005586.png,2
000005592.png,2
000005598.png,2
000005604.png,2
000005610.png,2
000005616.png,2
000005622.png,2
000005628.png,2
000005634.png,2
000005640.png,2
000005646.png,2
000005652.png,2
000005658.png,2
000005664.png,2
000005670.png,0
000005676.png,0
000005682.png,0
000005688.png,0
000005694.png,0
000005700.png,0
000005706.png,0
000005712.png,0
000005718.png,0
000005724.png,0
000005730.png,0
000005736.png,0
000005742.png,0
000005748.png,0
000005754.png,0
000005760.png,0
000005766.png,0
000005772.png,0
000005778.png,0
000005784.png,0
000005790.png,0
000005796.png,0
